title,rating,stars
将军家的小狐仙,3.6分,内详
花府小姐要出逃,2.1分,董岩磊
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
天龙八部2021,3.4分,"杨祐宁,文咏珊,白澍,张天阳,苏青,何泓姗,高泰宇,邱心志,刘玉翠,黄奕,朱珠,马雅舒,刘美彤,孙雅丽,杜厚佳,曾一萱,孟丽,于荣光,韩成才,苗皓钧,朱晓渔,沈晓"
你是我的荣耀,4.2分,"迪丽热巴,杨洋,潘粤明,胡可,王彦霖,郑合惠子,金晨,吴倩,高露,涂松岩,季肖冰,孙雅丽"
理想之城,3.8分,"孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,任重,张天阳,代旭,张瑶,田昊,傅首尔"
周生如故,4.0分,"任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航"
悬崖,3.2分,"张嘉译,宋佳,程煜,李洪涛"
云南虫谷,3.3分,"潘粤明,张雨绮,姜超"
君九龄,5.0分,"彭小苒,金瀚,杜亚飞,王佑硕,周占,陈芳彤,高飞,杨逸飞,何泓姗,刘钧,赵丽娟,谭凯,张棪琰,海铃,蒋龙,范桢,林子烨,岳旸,傅花道"
新白蛇传,3.0分,"孙骁骁,路宏,张天阳,王嵛,夏灵溪"
刺客学苑,2.0分,"许清雅,常斌,马小钦,段星羽,刘增宇"
好好生活卫视版,4.0分,"林雨申,蔡文静,邹廷威,姜妍"
红旗渠2021,1.0分,"于震,安悦溪,曾黎,徐光宇,马东延,李勤勤,寇振海,廖京生,许之糯,景乐,陈彻,徐申东,俞思远"
滚动吧小齿轮,1.0分,刘畅、淮文、文生、邱赫南
骊歌行粤语,2.0分,许凯、李一桐、檀健次、吴佳怡、范世錡、李泽锋、蒋梦婕
设局,4.0分,"何明翰,赵心怡,李丞峰,周梓言,姚卓君,曾格格,罗丹"
烈火战士,1.0分, 章贺 李曼 刘宇桥 周明汕 刘芳 郭明翔 张维娜 刘屹宸郑清文曲国强尹君正何育骏 章贺李曼刘宇桥周明汕刘芳 郭明翔 张维娜 刘屹宸 郑清文 曲国强 尹君
暖阳之下,4.0分,"高露,蒋毅,陈紫函,郭晓东,陈思澈,冷纪元,刘庭羽,刘恩佑,李正彦奇,钱锦,方青卓,海波"
突围2021,2.5分,"靳东,闫妮,黄志忠,陈晓,秦岚"
爱上萌面大人,5.0分,"符龙飞,韩忠羽"
红旗渠,5.0分,"于震,安悦溪,曾黎,徐光宇,马东延,李勤勤,寇振海,廖京生,许之糯,景乐,陈彻,徐申东,俞思远"
亲爱的吾兄,4.0分,"赵英博,代云帆,吴芊盈"
突围,4.0分,"傅浤鸣,潘雨辰,叶静,王政"
真相2021,2.0分,陈星旭、盖玥希、许亚军、刘畅、温峥嵘、傅方俊
皎若云间月,3.0分,"张芷溪,佟梦实,张墨锡,郝泽嘉,李若嘉"
爱上萌面先生,4.0分,"符龙飞,韩忠羽,陈雨成,梁博文,潘星宇,陈诗敏,孙露鹭,蒋蕊泽,阳兵卓"
颠簸货运路,3.0分,内详
真相,2.0分,内详
男才女貌之星光大道,4.0分,"林心如,陆毅,姜华,曾黎,于小伟,于毅,吴佳尼,冯绍峰"
倩女幽魂,2.0分,"徐熙媛,陈晓东,宣萱,吴京,罗嘉良,邓萃雯,吕颂贤,元华,麦家琪,聂远,桑妮,沈晓海,恬妞,陈紫函,夏于乔,朱晏,陈秀雯,黄维德,海俊杰,潘结,卓凡,王禄江,陈传之"
第十二秒,5.0分,"万茜,任重,赵毅,石兆琪,张秋歌,屈菁菁,巫迪文,郭冬冬,李卓阳,卫莱,窦若兮"
你好检察官,2.3分,"孙怡,张昊唯,朱雨辰,王维维,殷叶子,刘海蓝,陈靖可,乔骏达,张维娜"
功勋,3.4分,"柳云龙,李小冉,马精武,张蓓蓓"
一剪芳华,4.1分,"张昊唯,盖玥希,洪尧,赵圆瑗,杨祺如,张晨光,刘佩琦,刘敏,陈佩斯,侯勇,赵子琪"
而你刚好发光,5.0分,龚俊、王子璇、周澄奥、马瑞、刘剑羽、陈梦希、郭佳伊、陈鹏万里
偏偏爱上你2012,1.0分,"韩雪,丁子峻,于小伟,高曙光,章龄之,辛芷蕾"
您好！母亲大人,1.0分,"尹昉,董洁,芦芳生,赵魏,蔡鹭,王楚然,陈泇文,蒋雪鸣,张瑶,曲栅栅,公磊,曾淇,冉旭,宫正晔"
新白蛇传2021,2.0分,"孙骁骁,路宏,张天阳,王嵛,夏灵溪"
好好生活,3.0分,"林雨申,蔡文静,邹廷威,姜妍"
爱在粉雪时光,4.0分,"高旻睿,孙艺宁,许晓诺,张鑫,曾柯琅"
党小组/前行者,4.0分,"张鲁一,聂远,韩雪,郭晓婷,曹卫宇,霍青,郑罗茜,杜功海,王聪,赵阳,张帆,逯恣祯,张博之"
嘉南传,1.0分,"鞠婧祎,曾舜晞,汪卓成,王奕婷,李奕臻,李昀锐,曹翠芬,翁虹,黄海冰"
我的极品老婆,3.0分,张小帅
将军家的小狐仙,3.6分,内详
花府小姐要出逃,2.1分,董岩磊
爱的厘米,3.6分,"佟丽娅,佟大为,许娣,韩童生,檀健次,郑合惠子,左小青,涂松岩,胡可,任正斌,姜妍,盖克"
天道,4.0分,王志文/左小青/曾红生/赵会南/施大生/姚金飞/
传闻中的陈芊芊,4.4分,"赵露思,丁禹兮,盛英豪,周紫馨,权沛伦,陈名豪"
天龙八部2021,3.4分,"杨祐宁,文咏珊,白澍,张天阳,苏青,何泓姗,高泰宇,邱心志,刘玉翠,黄奕,朱珠,马雅舒,刘美彤,孙雅丽,杜厚佳,曾一萱,孟丽,于荣光,韩成才,苗皓钧,朱晓渔,沈晓"
你是我的荣耀,4.2分,"迪丽热巴,杨洋,潘粤明,胡可,王彦霖,郑合惠子,金晨,吴倩,高露,涂松岩,季肖冰,孙雅丽"
理想之城,3.8分,"孙俪,赵又廷,于和伟,陈明昊,高叶,李传缨,张澍,李洪涛,赵君,钱漪,刘泊潇,杨超越,刘奕畅,任重,张天阳,代旭,张瑶,田昊,傅首尔"
周生如故,4.0分,"任嘉伦,白鹿,王星越,李宜儒,姚奕辰,周陆啦,苏梦芸,吴曼思,刘威葳,梁爱琪,傅隽,于洋,原若航,张诚航"
悬崖,3.2分,"张嘉译,宋佳,程煜,李洪涛"
飞翔的梧桐子,4.0分,"寇振海,高云翔,沈丹萍,韦杰,方舒"
鲁冰花2009,3.0分,杨蓉 窦智孔 董慧 田子田
刁蛮俏御医,2.0分,"张娜拉,高昊,唐宸禹,郭珍霓,蔡蝶"
爱情海滨,1.0分,"赵子琪,涂松岩,艾东,陈婷,孙强,董艺薇"
大宅门2001,1.0分,"斯琴高娃,刘佩琦,陈宝国,蒋雯丽,张丰毅,贾妮,张艺谋,何赛飞,姜文,李雪健,茹萍,李洪涛,毕彦君,雷恪生,艾丽娅,张定涵,雷娟,谢兰"
一家之主,3.0分,"叶童,姜武,陈龙,柯蓝"
太极宗师,3.3分,"吴京,于海,惠英红,周比利"
六神无主,1.0分,"杨剑勐,陈凯颖,傅力璇,雷小米,叶秋儿,卢家勇"
慕南枝,3.5分,鞠婧祎、曾舜晞、汪卓成、王奕婷
第十二秒卫视版,3.0分,"万茜,任重,赵毅,石兆琪,张秋歌,屈菁菁,巫迪文,郭冬冬,李卓阳,卫莱,窦若兮"
前行者,3.0分, 张鲁一 饰 马天目 聂远 饰 唐贤平 韩雪 饰 陆怡 郭晓婷 饰 江韵清 曹卫宇 饰 吴崇信 张博之
人间有爱2,2.0分,章泉生陈桂娥诸诵芳
天之云，地之雾,1.0分,"王志文,刘威,陶泽如,田海蓉"
